head,relation,tail
DB00334,hasSideEffect,C0086543
DB00334,hasSideEffect,C0020433
DB00334,hasSideEffect,C0151905
DB00334,hasSideEffect,C0549373
DB00334,hasSideEffect,C0858635
DB00334,hasSideEffect,C0004245
DB00334,hasSideEffect,C0018790
DB00334,hasSideEffect,C0000731
DB00334,hasSideEffect,C0025345
DB00334,hasSideEffect,C0025874
DB00334,hasSideEffect,C0040460
DB00334,hasSideEffect,C0042769
DB00334,hasSideEffect,C0149745
DB00334,hasSideEffect,C0392025
DB00334,hasSideEffect,C0003864
DB00334,hasSideEffect,C0020456
DB00334,hasSideEffect,C0231530
DB00334,hasSideEffect,C0020580
DB00334,hasSideEffect,C0040822
DB00334,hasSideEffect,C0151908
DB00334,hasSideEffect,C0497156
DB00334,hasSideEffect,C0006840
DB00334,hasSideEffect,C0023067
DB00334,hasSideEffect,C0039971
DB00334,hasSideEffect,C0011053
DB00334,hasSideEffect,C0012569
DB00334,hasSideEffect,C0014236
DB00334,hasSideEffect,C0030332
DB00334,hasSideEffect,C0040264
DB00334,hasSideEffect,C0151576
DB00334,hasSideEffect,C0151662
DB00334,hasSideEffect,C0853034
DB00334,hasSideEffect,C0002418
DB00334,hasSideEffect,C0002622
DB00334,hasSideEffect,C0004096
DB00334,hasSideEffect,C0004134
