head,relation,tail
DB01128,hasSideEffect,C0002871
DB01128,hasSideEffect,C0011603
DB01128,hasSideEffect,C0015230
DB01128,hasSideEffect,C0018965
DB01128,hasSideEffect,C0000737
DB01128,hasSideEffect,C0004604
DB01128,hasSideEffect,C0008031
DB01128,hasSideEffect,C0013395
DB01128,hasSideEffect,C0018681
DB01128,hasSideEffect,C0020538
DB01128,hasSideEffect,C0027497
DB01128,hasSideEffect,C0030193
DB01128,hasSideEffect,C0030794
DB01128,hasSideEffect,C0042963
DB01128,hasSideEffect,C0687713
DB01128,hasSideEffect,C0917801
DB01128,hasSideEffect,C0002170
DB01128,hasSideEffect,C0003123
DB01128,hasSideEffect,C0004093
DB01128,hasSideEffect,C0009806
DB01128,hasSideEffect,C0011991
DB01128,hasSideEffect,C0012833
DB01128,hasSideEffect,C0013404
DB01128,hasSideEffect,C0018418
DB01128,hasSideEffect,C0020458
DB01128,hasSideEffect,C0033774
DB01128,hasSideEffect,C0038990
DB01128,hasSideEffect,C0042029
DB01128,hasSideEffect,C0043094
DB01128,hasSideEffect,C0043096
DB01128,hasSideEffect,C0085649
DB01128,hasSideEffect,C0151825
DB01128,hasSideEffect,C0232462
DB01128,hasSideEffect,C0236075
DB01128,hasSideEffect,C0242350
DB01128,hasSideEffect,C0262397
DB01128,hasSideEffect,C0600142
DB01128,hasSideEffect,C2830004
DB01128,hasSideEffect,C0009450
DB01128,hasSideEffect,C0011124
DB01128,hasSideEffect,C0015672
DB01128,hasSideEffect,C0016204
DB01128,hasSideEffect,C0019572
DB01128,hasSideEffect,C0042024
DB01128,hasSideEffect,C0043352
DB01128,hasSideEffect,C0855242
DB01128,hasSideEffect,C0392171
DB01128,hasSideEffect,C0521839
DB01128,hasSideEffect,C0020456
DB01128,hasSideEffect,C0151908
DB01128,hasSideEffect,C0151766
DB01128,hasSideEffect,C0235431
DB01128,hasSideEffect,C0027947
DB01128,hasSideEffect,C0151539
DB01128,hasSideEffect,C0022346
DB01128,hasSideEffect,C0151578
DB01196,hasSideEffect,C0011603
DB01196,hasSideEffect,C0015230
DB01196,hasSideEffect,C0017181
DB01196,hasSideEffect,C0003467
DB01196,hasSideEffect,C0008031
DB01196,hasSideEffect,C0018681
DB01196,hasSideEffect,C0027497
DB01196,hasSideEffect,C0040034
DB01196,hasSideEffect,C0042963
DB01196,hasSideEffect,C0917801
DB01196,hasSideEffect,C0002170
DB01196,hasSideEffect,C0003123
DB01196,hasSideEffect,C0011570
DB01196,hasSideEffect,C0011991
DB01196,hasSideEffect,C0013404
DB01196,hasSideEffect,C0013604
DB01196,hasSideEffect,C0018802
DB01196,hasSideEffect,C0023530
DB01196,hasSideEffect,C0033774
DB01196,hasSideEffect,C0037763
DB01196,hasSideEffect,C0085633
DB01196,hasSideEffect,C0232462
DB01196,hasSideEffect,C0233472
DB01196,hasSideEffect,C0236075
DB01196,hasSideEffect,C0600142
DB01196,hasSideEffect,C0011124
DB01196,hasSideEffect,C0016204
DB01196,hasSideEffect,C0023218
